Title,Removed amounts and measurements
Classic Burrata Pizza,"['pizza dough','pizza sauce','mozzarella','parmesan','burrata','basil']"
Incredible Jalapeno Pizza,"['pizza dough','oil','zucchini','salt','oregano','pepper','corn','onion','salsa','mozzarella','feta','cilantro']"
Ultimate Spinach Pizza,"['pizza dough','spinach','garlic','oregano','milk','salt','pepper','onion','pepper','garlic','mozzarella','parmesan']"
Perfect Pan Pizza,"['flour','yeast','salt','oregano','garlic','water','oil','mushroom','oil','fennel','pepper','onion','pizza sauce','mozzarella','parmesan','oregano']"
Flatbread Pizza,"['bread','oil','clove','mozzarella','tomato','onion','arugula','parmesan','balsamic reduction, to garnish','pine nuts']"
Easy Eggplant Pizza,"['egg','oil','oregano','pizza sauce','mozzarella','parmesan','basil','salt']"
Best Ricotta Pizza (3 Cheese!),"['pizza dough','milk','salt','pepper','garlic','mozzarella','parmesan','artichoke hearts','basil','honey']"
Naan Pizza,"['garlic','pizza sauce','mozzarella','parmesan','basil','arugula','pesto','mushroom','taco','spinach','egg','avocado','mediterranean','breakfast pizza','vegan pizza']"
Everything Basil Pizza,"['pizza dough','pesto','mozzarella','parmesan','basil','flour','basil']"
Best Healthy Pizza Recipe,"[' ball easy thin crust dough','pizza sauce','pepper','pepper','onion','garlic','oil','oregano','capers','parmesan','arugula','salt','oil','flour']"
Neapolitan Pizza Recipe,"['pizza dough','pizza sauce','mozzarella','salt','basil','flour']"
Truffle Pizza,"['pizza dough','mushroom','garlic','chives','oil','mozzarella','parmesan','flour','oil','salt']"
Mushroom Pizza with Fresh Herbs,"['pizza dough','mushroom','oregano','salt','oil','lemon','cheese','mozzarella','chives','flour']"
Homemade Cheese Pizza,"['pizza dough','pizza sauce','mozzarella','mozzarella','garlic','oregano','salt','flour']"
Spinach Artichoke Pizza,"['pizza dough','garlic','oil','spinach','artichokes','mozzarella','parmesan','salt','flour']"
Best Ever Taco Pizza,"['pizza dough','beans','cheddar','onion','olives','romaine','tomato','ranch dressing','corn','hot sauce','salt','flour']"
Veggie Supreme Pizza,"['pizza dough','pizza sauce','mushroom','oil','fennel','pepper','pepper','onion','mozzarella','feta','oregano','salt','flour']"
Artichoke and Cherry Tomato Pizza,"['pizza dough','pizza sauce','cheese','parmesan','artichoke hearts','tomato','basil','flour']"
Italian Pizza Recipe (Make it Like a Pro!),"['pizza dough','pizza sauce','mozzarella','pesto','flour']"
Mediterranean Pizza,"['pizza dough','pizza sauce','oil','spinach','onion','olives','tomato','mozzarella','feta','basil','salt','flour']"
Thin Crust Pizza Dough (with Video!),"['flour','yeast','salt','water','oil','flour','for the toppings, refer to our homemade pizzas']"
Breakfast Pizza,"['pizza dough','pizza sauce','egg','oil','onion','pepper','pepper','mozzarella','fennel','salt','flour']"
California Veggie & Avocado Pizza,"['pizza dough','pepper','pepper','onion','basil','pizza sauce','mozzarella','cheese','avocado','salt','flour']"
Pesto Pizza Recipe,"['pizza dough','pesto','mozzarella','tomato','parmesan']"
Ultimate Vegan Burrito,"['ice','mushroom','onion','pepper','beans','oil','cumin','garlic','onion','paprika','salt','lime','avocado','flour','cilantro']"
Epic Fish Tacos,"['cod','chili','cumin','garlic','salt','cabbage','carrot','onion','lime','celery','cilantro','corn','cilantro','lime']"
Vegan Fajitas (on a Sheet Pan!),"['onion','pepper','cauliflower','mushroom','oil','chili','cumin','paprika','garlic','onion','salt','avocado','lime','salt','cilantro','flour','beans']"
